regions,tech,vintage,exist_cap,exist_cap_units,exist_cap_notes
TO,COMBDGWSTNewLI,2015,10000000000,,CommercialBuildingWholesale TradeNewLighting
TO,COMBDGRTTNewLI,2015,10000000000,,CommercialBuildingRetail TradeNewLighting
TO,COMBDGTAWNewLI,2015,10000000000,,CommercialBuildingTransportation and WarehousingNewLighting
TO,COMBDGICINewLI,2015,10000000000,,CommercialBuildingInformation and Cultural IndustriesNewLighting
TO,COMBDGOFFNewLI,2015,10000000000,,CommercialBuildingOfficesNewLighting
TO,COMBDGEDSNewLI,2015,10000000000,,CommercialBuildingEducational ServicesNewLighting
TO,COMBDGHLCNewLI,2015,10000000000,,CommercialBuildingHealth Care and Social AssistanceNewLighting
TO,COMBDGAERNewLI,2015,10000000000,,"CommercialBuildingArts, Entertainment and RecreationNewLighting"
TO,COMBDGAFSNewLI,2015,10000000000,,CommercialBuildingAccommodation and Food ServicesNewLighting
TO,COMBDGOTSNewLI,2015,10000000000,,CommercialBuildingOther ServicesNewLighting
TO,COMBDGWSTNewSC,2015,10000000000,,CommercialBuildingWholesale TradeNewSpace Cooling
TO,COMBDGRTTNewSC,2015,10000000000,,CommercialBuildingRetail TradeNewSpace Cooling
TO,COMBDGTAWNewSC,2015,10000000000,,CommercialBuildingTransportation and WarehousingNewSpace Cooling
TO,COMBDGICINewSC,2015,10000000000,,CommercialBuildingInformation and Cultural IndustriesNewSpace Cooling
TO,COMBDGOFFNewSC,2015,10000000000,,CommercialBuildingOfficesNewSpace Cooling
TO,COMBDGEDSNewSC,2015,10000000000,,CommercialBuildingEducational ServicesNewSpace Cooling
TO,COMBDGHLCNewSC,2015,10000000000,,CommercialBuildingHealth Care and Social AssistanceNewSpace Cooling
TO,COMBDGAERNewSC,2015,10000000000,,"CommercialBuildingArts, Entertainment and RecreationNewSpace Cooling"
TO,COMBDGAFSNewSC,2015,10000000000,,CommercialBuildingAccommodation and Food ServicesNewSpace Cooling
TO,COMBDGOTSNewSC,2015,10000000000,,CommercialBuildingOther ServicesNewSpace Cooling
TO,COMBDGWSTNewAM,2015,10000000000,,CommercialBuildingWholesale TradeNewAuxiliary Motors
TO,COMBDGRTTNewAM,2015,10000000000,,CommercialBuildingRetail TradeNewAuxiliary Motors
TO,COMBDGTAWNewAM,2015,10000000000,,CommercialBuildingTransportation and WarehousingNewAuxiliary Motors
TO,COMBDGICINewAM,2015,10000000000,,CommercialBuildingInformation and Cultural IndustriesNewAuxiliary Motors
TO,COMBDGOFFNewAM,2015,10000000000,,CommercialBuildingOfficesNewAuxiliary Motors
TO,COMBDGEDSNewAM,2015,10000000000,,CommercialBuildingEducational ServicesNewAuxiliary Motors
TO,COMBDGHLCNewAM,2015,10000000000,,CommercialBuildingHealth Care and Social AssistanceNewAuxiliary Motors
TO,COMBDGAERNewAM,2015,10000000000,,"CommercialBuildingArts, Entertainment and RecreationNewAuxiliary Motors"
TO,COMBDGAFSNewAM,2015,10000000000,,CommercialBuildingAccommodation and Food ServicesNewAuxiliary Motors
TO,COMBDGOTSNewAM,2015,10000000000,,CommercialBuildingOther ServicesNewAuxiliary Motors
TO,COMBDGWSTNewAE,2015,10000000000,,CommercialBuildingWholesale TradeNewAuxiliary Equipment
TO,COMBDGRTTNewAE,2015,10000000000,,CommercialBuildingRetail TradeNewAuxiliary Equipment
TO,COMBDGTAWNewAE,2015,10000000000,,CommercialBuildingTransportation and WarehousingNewAuxiliary Equipment
TO,COMBDGICINewAE,2015,10000000000,,CommercialBuildingInformation and Cultural IndustriesNewAuxiliary Equipment
TO,COMBDGOFFNewAE,2015,10000000000,,CommercialBuildingOfficesNewAuxiliary Equipment
TO,COMBDGEDSNewAE,2015,10000000000,,CommercialBuildingEducational ServicesNewAuxiliary Equipment
TO,COMBDGHLCNewAE,2015,10000000000,,CommercialBuildingHealth Care and Social AssistanceNewAuxiliary Equipment
TO,COMBDGAERNewAE,2015,10000000000,,"CommercialBuildingArts, Entertainment and RecreationNewAuxiliary Equipment"
TO,COMBDGAFSNewAE,2015,10000000000,,CommercialBuildingAccommodation and Food ServicesNewAuxiliary Equipment
TO,COMBDGOTSNewAE,2015,10000000000,,CommercialBuildingOther ServicesNewAuxiliary Equipment
TO,COMBDGWSTNewSH,2015,10000000000,,CommercialBuildingWholesale TradeNewSpace Heating
TO,COMBDGRTTNewSH,2015,10000000000,,CommercialBuildingRetail TradeNewSpace Heating
TO,COMBDGTAWNewSH,2015,10000000000,,CommercialBuildingTransportation and WarehousingNewSpace Heating
TO,COMBDGICINewSH,2015,10000000000,,CommercialBuildingInformation and Cultural IndustriesNewSpace Heating
TO,COMBDGOFFNewSH,2015,10000000000,,CommercialBuildingOfficesNewSpace Heating
TO,COMBDGEDSNewSH,2015,10000000000,,CommercialBuildingEducational ServicesNewSpace Heating
TO,COMBDGHLCNewSH,2015,10000000000,,CommercialBuildingHealth Care and Social AssistanceNewSpace Heating
TO,COMBDGAERNewSH,2015,10000000000,,"CommercialBuildingArts, Entertainment and RecreationNewSpace Heating"
TO,COMBDGAFSNewSH,2015,10000000000,,CommercialBuildingAccommodation and Food ServicesNewSpace Heating
TO,COMBDGOTSNewSH,2015,10000000000,,CommercialBuildingOther ServicesNewSpace Heating
TO,COMBDGWSTNewWH,2015,10000000000,,CommercialBuildingWholesale TradeNewWater Heating
TO,COMBDGRTTNewWH,2015,10000000000,,CommercialBuildingRetail TradeNewWater Heating
TO,COMBDGTAWNewWH,2015,10000000000,,CommercialBuildingTransportation and WarehousingNewWater Heating
