regions,tech,life,life_notes
TO,PUBBDGHSPOldLILED___HIGELC_EX,10,PublicBuildingHospitalOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,PUBBDGMUNOldLILED___HIGELC_EX,10,PublicBuildingMunicipalityOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,PUBBDGPSIOldLILED___HIGELC_EX,10,PublicBuildingPost-Secondary InstitutionOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,PUBBDGSBDOldLILED___HIGELC_EX,10,PublicBuildingSchool boardOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,PUBBDGHSPOldLIFLC___STDELC_EX,4,PublicBuildingHospitalOldLightingFluocompactStandard EfficiencyElectricity
TO,PUBBDGMUNOldLIFLC___STDELC_EX,4,PublicBuildingMunicipalityOldLightingFluocompactStandard EfficiencyElectricity
TO,PUBBDGPSIOldLIFLC___STDELC_EX,4,PublicBuildingPost-Secondary InstitutionOldLightingFluocompactStandard EfficiencyElectricity
TO,PUBBDGSBDOldLIFLC___STDELC_EX,4,PublicBuildingSchool boardOldLightingFluocompactStandard EfficiencyElectricity
TO,PUBBDGHSPOldLIFLU___STDELC_EX,8,PublicBuildingHospitalOldLightingFluorescenteStandard EfficiencyElectricity
TO,PUBBDGMUNOldLIFLU___STDELC_EX,8,PublicBuildingMunicipalityOldLightingFluorescenteStandard EfficiencyElectricity
TO,PUBBDGPSIOldLIFLU___STDELC_EX,8,PublicBuildingPost-Secondary InstitutionOldLightingFluorescenteStandard EfficiencyElectricity
TO,PUBBDGSBDOldLIFLU___STDELC_EX,8,PublicBuildingSchool boardOldLightingFluorescenteStandard EfficiencyElectricity
TO,PUBBDGHSPOldLIHAL___STDELC_EX,2,PublicBuildingHospitalOldLightingHalogenStandard EfficiencyElectricity
TO,PUBBDGMUNOldLIHAL___STDELC_EX,2,PublicBuildingMunicipalityOldLightingHalogenStandard EfficiencyElectricity
TO,PUBBDGPSIOldLIHAL___STDELC_EX,2,PublicBuildingPost-Secondary InstitutionOldLightingHalogenStandard EfficiencyElectricity
TO,PUBBDGSBDOldLIHAL___STDELC_EX,2,PublicBuildingSchool boardOldLightingHalogenStandard EfficiencyElectricity
TO,PUBBDGHSPOldLIINC___STDELC_EX,2,PublicBuildingHospitalOldLightingIncandescentStandard EfficiencyElectricity
TO,PUBBDGMUNOldLIINC___STDELC_EX,2,PublicBuildingMunicipalityOldLightingIncandescentStandard EfficiencyElectricity
TO,PUBBDGPSIOldLIINC___STDELC_EX,2,PublicBuildingPost-Secondary InstitutionOldLightingIncandescentStandard EfficiencyElectricity
TO,PUBBDGSBDOldLIINC___STDELC_EX,2,PublicBuildingSchool boardOldLightingIncandescentStandard EfficiencyElectricity
TO,PUBBDGHSPOldLILED___STDELC_EX,10,PublicBuildingHospitalOldLightingLight Emitting DiodeStandard EfficiencyElectricity
TO,PUBBDGMUNOldLILED___STDELC_EX,10,PublicBuildingMunicipalityOldLightingLight Emitting DiodeStandard EfficiencyElectricity
TO,PUBBDGPSIOldLILED___STDELC_EX,10,PublicBuildingPost-Secondary InstitutionOldLightingLight Emitting DiodeStandard EfficiencyElectricity
TO,PUBBDGSBDOldLILED___STDELC_EX,10,PublicBuildingSchool boardOldLightingLight Emitting DiodeStandard EfficiencyElectricity
TO,PUBBDGHSPOldSC______STDELC_EX,18,PublicBuildingHospitalOldSpace CoolingStandard EfficiencyElectricity
TO,PUBBDGMUNOldSC______STDELC_EX,18,PublicBuildingMunicipalityOldSpace CoolingStandard EfficiencyElectricity
TO,PUBBDGPSIOldSC______STDELC_EX,18,PublicBuildingPost-Secondary InstitutionOldSpace CoolingStandard EfficiencyElectricity
TO,PUBBDGSBDOldSC______STDELC_EX,18,PublicBuildingSchool boardOldSpace CoolingStandard EfficiencyElectricity
TO,PUBBDGHSPOldSC______STDNGA_EX,15,PublicBuildingHospitalOldSpace CoolingStandard EfficiencyNatural Gas
TO,PUBBDGMUNOldSC______STDNGA_EX,15,PublicBuildingMunicipalityOldSpace CoolingStandard EfficiencyNatural Gas
TO,PUBBDGPSIOldSC______STDNGA_EX,15,PublicBuildingPost-Secondary InstitutionOldSpace CoolingStandard EfficiencyNatural Gas
TO,PUBBDGSBDOldSC______STDNGA_EX,15,PublicBuildingSchool boardOldSpace CoolingStandard EfficiencyNatural Gas
TO,PUBBDGMUNOldSC_________DCO_EX,100,PublicBuildingMunicipalityOldSpace CoolingDistrict Cooling
TO,PUBBDGPSIOldSC_________DCO_EX,100,PublicBuildingPost-Secondary InstitutionOldSpace CoolingDistrict Cooling
TO,PUBBDGSBDOldSC_________DCO_EX,100,PublicBuildingSchool boardOldSpace CoolingDistrict Cooling
TO,PUBBDGHSPOldAM______STDELC_EX,10,PublicBuildingHospitalOldAuxiliary MotorsStandard EfficiencyElectricity
TO,PUBBDGMUNOldAM______STDELC_EX,10,PublicBuildingMunicipalityOldAuxiliary MotorsStandard EfficiencyElectricity
TO,PUBBDGPSIOldAM______STDELC_EX,10,PublicBuildingPost-Secondary InstitutionOldAuxiliary MotorsStandard EfficiencyElectricity
TO,PUBBDGSBDOldAM______STDELC_EX,10,PublicBuildingSchool boardOldAuxiliary MotorsStandard EfficiencyElectricity
TO,PUBBDGHSPOldAE______STDELC_EX,10,PublicBuildingHospitalOldAuxiliary EquipmentStandard EfficiencyElectricity
TO,PUBBDGMUNOldAE______STDELC_EX,10,PublicBuildingMunicipalityOldAuxiliary EquipmentStandard EfficiencyElectricity
TO,PUBBDGPSIOldAE______STDELC_EX,10,PublicBuildingPost-Secondary InstitutionOldAuxiliary EquipmentStandard EfficiencyElectricity
TO,PUBBDGSBDOldAE______STDELC_EX,10,PublicBuildingSchool boardOldAuxiliary EquipmentStandard EfficiencyElectricity
TO,PUBBDGHSPOldAE______STDNGA_EX,10,PublicBuildingHospitalOldAuxiliary EquipmentStandard EfficiencyNatural Gas
TO,PUBBDGMUNOldAE______STDNGA_EX,10,PublicBuildingMunicipalityOldAuxiliary EquipmentStandard EfficiencyNatural Gas
TO,PUBBDGPSIOldAE______STDNGA_EX,10,PublicBuildingPost-Secondary InstitutionOldAuxiliary EquipmentStandard EfficiencyNatural Gas
TO,PUBBDGSBDOldAE______STDNGA_EX,10,PublicBuildingSchool boardOldAuxiliary EquipmentStandard EfficiencyNatural Gas
TO,PUBBDGHSPOldSHPLT___STDELC_EX,40,PublicBuildingHospitalOldSpace HeatingPlintheStandard EfficiencyElectricity
TO,PUBBDGMUNOldSHPLT___STDELC_EX,40,PublicBuildingMunicipalityOldSpace HeatingPlintheStandard EfficiencyElectricity
TO,PUBBDGPSIOldSHPLT___STDELC_EX,40,PublicBuildingPost-Secondary InstitutionOldSpace HeatingPlintheStandard EfficiencyElectricity
TO,PUBBDGSBDOldSHPLT___STDELC_EX,40,PublicBuildingSchool boardOldSpace HeatingPlintheStandard EfficiencyElectricity
TO,PUBBDGHSPOldSHFUR___STDELC_EX,23,PublicBuildingHospitalOldSpace HeatingFurnaceStandard EfficiencyElectricity
TO,PUBBDGMUNOldSHFUR___STDELC_EX,23,PublicBuildingMunicipalityOldSpace HeatingFurnaceStandard EfficiencyElectricity
TO,PUBBDGPSIOldSHFUR___STDELC_EX,23,PublicBuildingPost-Secondary InstitutionOldSpace HeatingFurnaceStandard EfficiencyElectricity
TO,PUBBDGSBDOldSHFUR___STDELC_EX,23,PublicBuildingSchool boardOldSpace HeatingFurnaceStandard EfficiencyElectricity
TO,PUBBDGHSPOldSHFUR___STDNGA_EX,23,PublicBuildingHospitalOldSpace HeatingFurnaceStandard EfficiencyNatural Gas
TO,PUBBDGMUNOldSHFUR___STDNGA_EX,23,PublicBuildingMunicipalityOldSpace HeatingFurnaceStandard EfficiencyNatural Gas
TO,PUBBDGPSIOldSHFUR___STDNGA_EX,23,PublicBuildingPost-Secondary InstitutionOldSpace HeatingFurnaceStandard EfficiencyNatural Gas
TO,PUBBDGSBDOldSHFUR___STDNGA_EX,23,PublicBuildingSchool boardOldSpace HeatingFurnaceStandard EfficiencyNatural Gas
TO,PUBBDGHSPOldSHFUR___STDLFO_EX,23,PublicBuildingHospitalOldSpace HeatingFurnaceStandard EfficiencyLight Fuel Oil
TO,PUBBDGPSIOldSHFUR___STDLFO_EX,23,PublicBuildingPost-Secondary InstitutionOldSpace HeatingFurnaceStandard EfficiencyLight Fuel Oil
TO,PUBBDGHSPOldSH_________DHE_EX,22,PublicBuildingHospitalOldSpace HeatingDistrict Heating
TO,PUBBDGMUNOldSH_________DHE_EX,22,PublicBuildingMunicipalityOldSpace HeatingDistrict Heating
TO,PUBBDGPSIOldSH_________DHE_EX,22,PublicBuildingPost-Secondary InstitutionOldSpace HeatingDistrict Heating
TO,PUBBDGSBDOldSH_________DHE_EX,22,PublicBuildingSchool boardOldSpace HeatingDistrict Heating
TO,PUBBDGHSPOldWH______STDELC_EX,13,PublicBuildingHospitalOldWater HeatingStandard EfficiencyElectricity
TO,PUBBDGMUNOldWH______STDELC_EX,13,PublicBuildingMunicipalityOldWater HeatingStandard EfficiencyElectricity
TO,PUBBDGPSIOldWH______STDELC_EX,13,PublicBuildingPost-Secondary InstitutionOldWater HeatingStandard EfficiencyElectricity
TO,PUBBDGSBDOldWH______STDELC_EX,13,PublicBuildingSchool boardOldWater HeatingStandard EfficiencyElectricity
TO,PUBBDGHSPOldWH______STDNGA_EX,13,PublicBuildingHospitalOldWater HeatingStandard EfficiencyNatural Gas
TO,PUBBDGMUNOldWH______STDNGA_EX,13,PublicBuildingMunicipalityOldWater HeatingStandard EfficiencyNatural Gas
TO,PUBBDGPSIOldWH______STDNGA_EX,13,PublicBuildingPost-Secondary InstitutionOldWater HeatingStandard EfficiencyNatural Gas
TO,PUBBDGSBDOldWH______STDNGA_EX,13,PublicBuildingSchool boardOldWater HeatingStandard EfficiencyNatural Gas
TO,PUBBDGHSPOldWH______STDLFO_EX,13,PublicBuildingHospitalOldWater HeatingStandard EfficiencyLight Fuel Oil
TO,PUBBDGPSIOldWH______STDLFO_EX,13,PublicBuildingPost-Secondary InstitutionOldWater HeatingStandard EfficiencyLight Fuel Oil
TO,PUBBDGHSPOldWH_________DHE_EX,22,PublicBuildingHospitalOldWater HeatingDistrict Heating
TO,PUBBDGMUNOldWH_________DHE_EX,22,PublicBuildingMunicipalityOldWater HeatingDistrict Heating
TO,PUBBDGPSIOldWH_________DHE_EX,22,PublicBuildingPost-Secondary InstitutionOldWater HeatingDistrict Heating
TO,PUBBDGSBDOldWH_________DHE_EX,22,PublicBuildingSchool boardOldWater HeatingDistrict Heating
