tech,flag,sector,tech_desc,tech_category
PUBBDGHSPOldLILED___HIGELC_EX,p,PUBBDG,PublicBuildingHospitalOldLightingLight Emitting DiodeHigh EfficiencyElectricity,
PUBBDGMUNOldLILED___HIGELC_EX,p,PUBBDG,PublicBuildingMunicipalityOldLightingLight Emitting DiodeHigh EfficiencyElectricity,
PUBBDGPSIOldLILED___HIGELC_EX,p,PUBBDG,PublicBuildingPost-Secondary InstitutionOldLightingLight Emitting DiodeHigh EfficiencyElectricity,
PUBBDGSBDOldLILED___HIGELC_EX,p,PUBBDG,PublicBuildingSchool boardOldLightingLight Emitting DiodeHigh EfficiencyElectricity,
PUBBDGHSPOldLIFLC___STDELC_EX,p,PUBBDG,PublicBuildingHospitalOldLightingFluocompactStandard EfficiencyElectricity,
PUBBDGMUNOldLIFLC___STDELC_EX,p,PUBBDG,PublicBuildingMunicipalityOldLightingFluocompactStandard EfficiencyElectricity,
PUBBDGPSIOldLIFLC___STDELC_EX,p,PUBBDG,PublicBuildingPost-Secondary InstitutionOldLightingFluocompactStandard EfficiencyElectricity,
PUBBDGSBDOldLIFLC___STDELC_EX,p,PUBBDG,PublicBuildingSchool boardOldLightingFluocompactStandard EfficiencyElectricity,
PUBBDGHSPOldLIFLU___STDELC_EX,p,PUBBDG,PublicBuildingHospitalOldLightingFluorescenteStandard EfficiencyElectricity,
PUBBDGMUNOldLIFLU___STDELC_EX,p,PUBBDG,PublicBuildingMunicipalityOldLightingFluorescenteStandard EfficiencyElectricity,
PUBBDGPSIOldLIFLU___STDELC_EX,p,PUBBDG,PublicBuildingPost-Secondary InstitutionOldLightingFluorescenteStandard EfficiencyElectricity,
PUBBDGSBDOldLIFLU___STDELC_EX,p,PUBBDG,PublicBuildingSchool boardOldLightingFluorescenteStandard EfficiencyElectricity,
PUBBDGHSPOldLIHAL___STDELC_EX,p,PUBBDG,PublicBuildingHospitalOldLightingHalogenStandard EfficiencyElectricity,
PUBBDGMUNOldLIHAL___STDELC_EX,p,PUBBDG,PublicBuildingMunicipalityOldLightingHalogenStandard EfficiencyElectricity,
PUBBDGPSIOldLIHAL___STDELC_EX,p,PUBBDG,PublicBuildingPost-Secondary InstitutionOldLightingHalogenStandard EfficiencyElectricity,
PUBBDGSBDOldLIHAL___STDELC_EX,p,PUBBDG,PublicBuildingSchool boardOldLightingHalogenStandard EfficiencyElectricity,
PUBBDGHSPOldLIINC___STDELC_EX,p,PUBBDG,PublicBuildingHospitalOldLightingIncandescentStandard EfficiencyElectricity,
PUBBDGMUNOldLIINC___STDELC_EX,p,PUBBDG,PublicBuildingMunicipalityOldLightingIncandescentStandard EfficiencyElectricity,
PUBBDGPSIOldLIINC___STDELC_EX,p,PUBBDG,PublicBuildingPost-Secondary InstitutionOldLightingIncandescentStandard EfficiencyElectricity,
PUBBDGSBDOldLIINC___STDELC_EX,p,PUBBDG,PublicBuildingSchool boardOldLightingIncandescentStandard EfficiencyElectricity,
PUBBDGHSPOldLILED___STDELC_EX,p,PUBBDG,PublicBuildingHospitalOldLightingLight Emitting DiodeStandard EfficiencyElectricity,
PUBBDGMUNOldLILED___STDELC_EX,p,PUBBDG,PublicBuildingMunicipalityOldLightingLight Emitting DiodeStandard EfficiencyElectricity,
PUBBDGPSIOldLILED___STDELC_EX,p,PUBBDG,PublicBuildingPost-Secondary InstitutionOldLightingLight Emitting DiodeStandard EfficiencyElectricity,
PUBBDGSBDOldLILED___STDELC_EX,p,PUBBDG,PublicBuildingSchool boardOldLightingLight Emitting DiodeStandard EfficiencyElectricity,
PUBBDGHSPOldSC______STDELC_EX,p,PUBBDG,PublicBuildingHospitalOldSpace CoolingStandard EfficiencyElectricity,
PUBBDGMUNOldSC______STDELC_EX,p,PUBBDG,PublicBuildingMunicipalityOldSpace CoolingStandard EfficiencyElectricity,
PUBBDGPSIOldSC______STDELC_EX,p,PUBBDG,PublicBuildingPost-Secondary InstitutionOldSpace CoolingStandard EfficiencyElectricity,
PUBBDGSBDOldSC______STDELC_EX,p,PUBBDG,PublicBuildingSchool boardOldSpace CoolingStandard EfficiencyElectricity,
PUBBDGHSPOldSC______STDNGA_EX,p,PUBBDG,PublicBuildingHospitalOldSpace CoolingStandard EfficiencyNatural Gas,
PUBBDGMUNOldSC______STDNGA_EX,p,PUBBDG,PublicBuildingMunicipalityOldSpace CoolingStandard EfficiencyNatural Gas,
