regions,tech,life,life_notes
TO,WATWASFWSPL,200,WaterWasteSplitFresh water
TO,WATWASCOLRW,200,WaterWasteRain collectionRain water
TO,WATWASSEWWW,200,WaterWasteSewer CollectionFresh water
TO,WATWASPUMWW,200,WaterWastePumpWaste water
TO,WATWASGRIWW,200,WaterWasteGridWaste water
TO,WATWASSTPWW,200,WaterWasteSplit Treatment PlantWaste water
TO,WATWASPUMFW,200,WaterWastePumpFresh water
TO,WATWASGRIFW,200,WaterWasteGridFresh water
TO,WATWASSTPFW,200,WaterWasteSplit Treatment PlantFresh water
TO,TOWATWASETHOS,200,0
