tech,flag,sector,tech_desc,tech_category
COMBDGDCOAVGPIP___CW_23,p,DISENE,CommercialBuildingDistrict CoolingToronto AveragePipe,
COMBDGDCOAVGSUB___CW_23,p,DISENE,CommercialBuildingDistrict CoolingToronto AverageSubstation,
COMBDGDCOCONHEPLARHWC_23,p,DISENE,CommercialBuildingDistrict CoolingConsumptionHeat PumpLarge,
COMBDGDCOCONHEPMEDHWC_23,p,DISENE,CommercialBuildingDistrict CoolingConsumptionHeat PumpMedium,
COMBDGDCOCONHEPSMAHWC_23,p,DISENE,CommercialBuildingDistrict CoolingConsumptionHeat PumpSmall,
COMBDGDCOPRDDLAENWELC_23,p,DISENE,CommercialBuildingDistrict CoolingProductionDeep Lake CoolingEnwave,
COMBDGDCOPRDHEPENWELC_23,p,DISENE,CommercialBuildingDistrict CoolingProductionHeat PumpEnwave,
COMBDGDCOPRDHEPLARELC_23,p,DISENE,CommercialBuildingDistrict CoolingProductionHeat PumpLarge,
COMBDGDCOPRDHEPLARHWP_23,p,DISENE,CommercialBuildingDistrict CoolingProductionHeat PumpLarge,
COMBDGDCOPRDHEPMEDELC_23,p,DISENE,CommercialBuildingDistrict CoolingProductionHeat PumpMedium,
COMBDGDCOPRDHEPMEDHWP_23,p,DISENE,CommercialBuildingDistrict CoolingProductionHeat PumpMedium,
COMBDGDCOPRDHEPSMAELC_23,p,DISENE,CommercialBuildingDistrict CoolingProductionHeat PumpSmall,
COMBDGDCOPRDHEPSMAHWP_23,p,DISENE,CommercialBuildingDistrict CoolingProductionHeat PumpSmall,
COMBDGDCOSTGHTSLARCW_23,ps,DISENE,CommercialBuildingDistrict CoolingStorageHot Tank StorageLarge,
COMBDGDCOSTGHTSMEDCW_23,ps,DISENE,CommercialBuildingDistrict CoolingStorageHot Tank StorageMedium,
COMBDGDCOSTGHTSSMACW_23,ps,DISENE,CommercialBuildingDistrict CoolingStorageHot Tank StorageSmall,
COMBDGDHEAVGPIP___HW_23,p,DISENE,CommercialBuildingDistrict HeatingToronto AveragePipe,
COMBDGDHEAVGSUB___HW_23,p,DISENE,CommercialBuildingDistrict HeatingToronto AverageSubstation,
COMBDGDHECONHEPLARHWC_23,p,DISENE,CommercialBuildingDistrict HeatingConsumptionHeat PumpLarge,
COMBDGDHECONHEPMEDHWC_23,p,DISENE,CommercialBuildingDistrict HeatingConsumptionHeat PumpMedium,
COMBDGDHECONHEPSMAHWC_23,p,DISENE,CommercialBuildingDistrict HeatingConsumptionHeat PumpSmall,
COMBDGDHEPRDBOILARELC_23,p,DISENE,CommercialBuildingDistrict HeatingProductionBoilerLarge,
COMBDGDHEPRDBOILARNGA_23,p,DISENE,CommercialBuildingDistrict HeatingProductionBoilerLarge,
COMBDGDHEPRDBOIMEDELC_23,p,DISENE,CommercialBuildingDistrict HeatingProductionBoilerMedium,
COMBDGDHEPRDBOIMEDNGA_23,p,DISENE,CommercialBuildingDistrict HeatingProductionBoilerMedium,
COMBDGDHEPRDBOISMAELC_23,p,DISENE,CommercialBuildingDistrict HeatingProductionBoilerSmall,
COMBDGDHEPRDBOISMANGA_23,p,DISENE,CommercialBuildingDistrict HeatingProductionBoilerSmall,
COMBDGDHEPRDGTULARNGA_23,p,DISENE,CommercialBuildingDistrict HeatingProductionGas TurbineLarge,
COMBDGDHEPRDGTULARMNGA_23,p,DISENE,CommercialBuildingDistrict HeatingProductionGas TurbineLarge,
COMBDGDHEPRDGTUMEDNGA_23,p,DISENE,CommercialBuildingDistrict HeatingProductionGas TurbineMedium,
COMBDGDHEPRDGTUMEDMNGA_23,p,DISENE,CommercialBuildingDistrict HeatingProductionGas TurbineMedium,
COMBDGDHEPRDGTUSMANGA_23,p,DISENE,CommercialBuildingDistrict HeatingProductionGas TurbineSmall,
COMBDGDHEPRDGTUSMAMNGA_23,p,DISENE,CommercialBuildingDistrict HeatingProductionGas TurbineSmall,
COMBDGDHEPRDICELARNGA_23,p,DISENE,CommercialBuildingDistrict HeatingProductionInternal Combustion EngineLarge,
COMBDGDHEPRDICELARMNGA_23,p,DISENE,CommercialBuildingDistrict HeatingProductionInternal Combustion EngineLarge,
COMBDGDHEPRDICEMEDNGA_23,p,DISENE,CommercialBuildingDistrict HeatingProductionInternal Combustion EngineMedium,
COMBDGDHEPRDICEMEDMNGA_23,p,DISENE,CommercialBuildingDistrict HeatingProductionInternal Combustion EngineMedium,
COMBDGDHEPRDICESMANGA_23,p,DISENE,CommercialBuildingDistrict HeatingProductionInternal Combustion EngineSmall,
COMBDGDHEPRDICESMAMNGA_23,p,DISENE,CommercialBuildingDistrict HeatingProductionInternal Combustion EngineSmall,
COMBDGDHESTGHTSLARHW_23,ps,DISENE,CommercialBuildingDistrict HeatingStorageHot Tank StorageLarge,
COMBDGDHESTGHTSMEDHW_23,ps,DISENE,CommercialBuildingDistrict HeatingStorageHot Tank StorageMedium,
COMBDGDHESTGHTSSMAHW_23,ps,DISENE,CommercialBuildingDistrict HeatingStorageHot Tank StorageSmall,
COMBDGDHESTGPITLARHW_23,ps,DISENE,CommercialBuildingDistrict HeatingStoragePit StorageLarge,
COMBDGDHESTGPITMEDHW_23,ps,DISENE,CommercialBuildingDistrict HeatingStoragePit StorageMedium,
COMBDGDHESTGPITSMAHW_23,ps,DISENE,CommercialBuildingDistrict HeatingStoragePit StorageSmall,
INDBDGDCOAVGPIP___CW_23,p,DISENE,IndustrialBuildingDistrict CoolingToronto AveragePipe,
INDBDGDCOAVGSUB___CW_23,p,DISENE,IndustrialBuildingDistrict CoolingToronto AverageSubstation,
INDBDGDCOCONHEPLARHWC_23,p,DISENE,IndustrialBuildingDistrict CoolingConsumptionHeat PumpLarge,
INDBDGDCOCONHEPMEDHWC_23,p,DISENE,IndustrialBuildingDistrict CoolingConsumptionHeat PumpMedium,
INDBDGDCOCONHEPSMAHWC_23,p,DISENE,IndustrialBuildingDistrict CoolingConsumptionHeat PumpSmall,
INDBDGDCOPRDDLAENWELC_23,p,DISENE,IndustrialBuildingDistrict CoolingProductionDeep Lake CoolingEnwave,
INDBDGDCOPRDHEPENWELC_23,p,DISENE,IndustrialBuildingDistrict CoolingProductionHeat PumpEnwave,
INDBDGDCOPRDHEPLARELC_23,p,DISENE,IndustrialBuildingDistrict CoolingProductionHeat PumpLarge,
INDBDGDCOPRDHEPLARHWP_23,p,DISENE,IndustrialBuildingDistrict CoolingProductionHeat PumpLarge,
INDBDGDCOPRDHEPMEDELC_23,p,DISENE,IndustrialBuildingDistrict CoolingProductionHeat PumpMedium,
INDBDGDCOPRDHEPMEDHWP_23,p,DISENE,IndustrialBuildingDistrict CoolingProductionHeat PumpMedium,
INDBDGDCOPRDHEPSMAELC_23,p,DISENE,IndustrialBuildingDistrict CoolingProductionHeat PumpSmall,
INDBDGDCOPRDHEPSMAHWP_23,p,DISENE,IndustrialBuildingDistrict CoolingProductionHeat PumpSmall,
INDBDGDCOSTGHTSLARCW_23,ps,DISENE,IndustrialBuildingDistrict CoolingStorageHot Tank StorageLarge,
INDBDGDCOSTGHTSMEDCW_23,ps,DISENE,IndustrialBuildingDistrict CoolingStorageHot Tank StorageMedium,
INDBDGDCOSTGHTSSMACW_23,ps,DISENE,IndustrialBuildingDistrict CoolingStorageHot Tank StorageSmall,
INDBDGDHEAVGPIP___HW_23,p,DISENE,IndustrialBuildingDistrict HeatingToronto AveragePipe,
INDBDGDHEAVGSUB___HW_23,p,DISENE,IndustrialBuildingDistrict HeatingToronto AverageSubstation,
