regions,tech,life,life_notes
TO,RESBDGAPAOldCDY______HIGELC_23,13,ResidentialBuildingApartmentsOldClothe DryerHigh EfficiencyElectricity2023
TO,RESBDGAPAOldCDY______ESRELC_23,13,ResidentialBuildingApartmentsOldClothe DryerEnergy StarElectricity2023
TO,RESBDGAPAOldCDY______STDELC_23,13,ResidentialBuildingApartmentsOldClothe DryerStandard EfficiencyElectricity2023
TO,RESBDGAPAOldRAG______HIGELC_23,12,ResidentialBuildingApartmentsOldRangeHigh EfficiencyElectricity2023
TO,RESBDGAPAOldRAG______STDELC_23,12,ResidentialBuildingApartmentsOldRangeStandard EfficiencyElectricity2023
TO,RESBDGAPAOldCWA___FRHIGELC_23,12,ResidentialBuildingApartmentsOldClothe WasherFrontHigh EfficiencyElectricity2023
TO,RESBDGAPAOldCWA___FRESRELC_23,12,ResidentialBuildingApartmentsOldClothe WasherFrontEnergy StarElectricity2023
TO,RESBDGAPAOldCWA___FRSTDELC_23,12,ResidentialBuildingApartmentsOldClothe WasherFrontStandard EfficiencyElectricity2023
TO,RESBDGAPAOldCWA___TPHIGELC_23,12,ResidentialBuildingApartmentsOldClothe WasherTopHigh EfficiencyElectricity2023
TO,RESBDGAPAOldCWA___TPESRELC_23,12,ResidentialBuildingApartmentsOldClothe WasherTopEnergy StarElectricity2023
TO,RESBDGAPAOldCWA___TPSTDELC_23,12,ResidentialBuildingApartmentsOldClothe WasherTopStandard EfficiencyElectricity2023
TO,RESBDGAPAOldDWA______HIGELC_23,15,ResidentialBuildingApartmentsOldDish WasherHigh EfficiencyElectricity2023
TO,RESBDGAPAOldDWA______ESRELC_23,15,ResidentialBuildingApartmentsOldDish WasherEnergy StarElectricity2023
TO,RESBDGAPAOldDWA______STDELC_23,15,ResidentialBuildingApartmentsOldDish WasherStandard EfficiencyElectricity2023
TO,RESBDGAPAOldLIFLC___HIGELC_23,4,ResidentialBuildingApartmentsOldLightingFluocompactHigh EfficiencyElectricity2023
TO,RESBDGAPAOldLIFLC___ESRELC_23,4,ResidentialBuildingApartmentsOldLightingFluocompactEnergy StarElectricity2023
TO,RESBDGAPAOldLIFLC___STDELC_23,4,ResidentialBuildingApartmentsOldLightingFluocompactStandard EfficiencyElectricity2023
TO,RESBDGAPAOldLIFLUT5HIGELC_23,12,ResidentialBuildingApartmentsOldLightingFluorescenteT5High EfficiencyElectricity2023
TO,RESBDGAPAOldLIFLUT8HIGELC_23,9.6,ResidentialBuildingApartmentsOldLightingFluorescenteT8High EfficiencyElectricity2023
TO,RESBDGAPAOldLIFLUT12STDELC_23,6,ResidentialBuildingApartmentsOldLightingFluorescenteT12Standard EfficiencyElectricity2023
TO,RESBDGAPAOldLIFLUT5STDELC_23,12,ResidentialBuildingApartmentsOldLightingFluorescenteT5Standard EfficiencyElectricity2023
TO,RESBDGAPAOldLIFLUT8STDELC_23,8.4,ResidentialBuildingApartmentsOldLightingFluorescenteT8Standard EfficiencyElectricity2023
TO,RESBDGAPAOldLIHAL60WSTDELC_23,1,ResidentialBuildingApartmentsOldLightingHalogen60WStandard EfficiencyElectricity2023
TO,RESBDGAPAOldLIINC60WSTDELC_23,1,ResidentialBuildingApartmentsOldLightingIncandescent60WStandard EfficiencyElectricity2023
TO,RESBDGAPAOldLILED___ESRELC_23,10,ResidentialBuildingApartmentsOldLightingLight Emitting DiodeEnergy StarElectricity2023
TO,RESBDGAPAOldLILED___STDELC_23,10,ResidentialBuildingApartmentsOldLightingLight Emitting DiodeStandard EfficiencyElectricity2023
TO,RESBDGAPAOldSCCE___HIGELC_23,18,ResidentialBuildingApartmentsOldSpace CoolingCentralHigh EfficiencyElectricity2023
TO,RESBDGAPAOldSCCE___ESRELC_23,18,ResidentialBuildingApartmentsOldSpace CoolingCentralEnergy StarElectricity2023
TO,RESBDGAPAOldSCCE___STDELC_23,18,ResidentialBuildingApartmentsOldSpace CoolingCentralStandard EfficiencyElectricity2023
TO,RESBDGAPAOldSCWA___HIGELC_23,10,ResidentialBuildingApartmentsOldSpace CoolingWallHigh EfficiencyElectricity2023
TO,RESBDGAPAOldSCWA___ESRELC_23,10,ResidentialBuildingApartmentsOldSpace CoolingWallEnergy StarElectricity2023
TO,RESBDGAPAOldSCWA___STDELC_23,10,ResidentialBuildingApartmentsOldSpace CoolingWallStandard EfficiencyElectricity2023
TO,RESBDGAPAOldSCWD___HIGELC_23,10,ResidentialBuildingApartmentsOldSpace CoolingWindowHigh EfficiencyElectricity2023
TO,RESBDGAPAOldSCWD___ESRELC_23,10,ResidentialBuildingApartmentsOldSpace CoolingWindowEnergy StarElectricity2023
TO,RESBDGAPAOldSCWD___STDELC_23,10,ResidentialBuildingApartmentsOldSpace CoolingWindowStandard EfficiencyElectricity2023
TO,RESBDGAPAOldSHSTV___HIGBMA_23,19,ResidentialBuildingApartmentsOldSpace HeatingStoveHigh EfficiencyBiomass2023
TO,RESBDGAPAOldSHSTV___STDBMA_23,19,ResidentialBuildingApartmentsOldSpace HeatingStoveStandard EfficiencyBiomass2023
TO,RESBDGAPAOldSHFUR___STDELC_23,23,ResidentialBuildingApartmentsOldSpace HeatingFurnaceStandard EfficiencyElectricity2023
TO,RESBDGAPAOldSHPLT500WSTDELC_23,40,ResidentialBuildingApartmentsOldSpace HeatingPlinthe500WStandard EfficiencyElectricity2023
TO,RESBDGAPAOldSHPLT1000WSTDELC_23,40,ResidentialBuildingApartmentsOldSpace HeatingPlinthe1000WStandard EfficiencyElectricity2023
TO,RESBDGAPAOldSHPLT1500WSTDELC_23,40,ResidentialBuildingApartmentsOldSpace HeatingPlinthe1500WStandard EfficiencyElectricity2023
TO,RESBDGAPAOldSHBOI___STDHH2_23,12,ResidentialBuildingApartmentsOldSpace HeatingBoilerStandard EfficiencyHydrogen2023
TO,RESBDGAPAOldSHFUR___STDKER_23,27,ResidentialBuildingApartmentsOldSpace HeatingFurnaceStandard EfficiencyKerosene2023
TO,RESBDGAPAOldSHFUR___HIGLFO_23,27,ResidentialBuildingApartmentsOldSpace HeatingFurnaceHigh EfficiencyLight Fuel Oil2023
